"table_id","outcome","outcome_var","flow","partner","base_year","period","iv_label","transform_id","transform_label","exposure_var","instrument_var","x_timing","coef","se","N","clusters","fe_flags"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdiff_xtlag","p1","p1_log_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-9.96561332275241,6.39527980910156,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-11.3309157584021,7.26429645273209,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__level_t","p1","p1_level","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-2.78323751202728e-06,1.88650266651456e-06,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__diff_t","p1","p1_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",4.15062096321149e-06,2.01679261418999e-06,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__difflag_t","p1","p1_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",1.29052123265975e-06,7.93439524714816e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__log_t","p1","p1_log","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",13.324919826868,14.5971111323348,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdiff_t","p1","p1_log_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",-6.7163381837805,18.3387191562102,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",1.07324804294462,4.28219090408398,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__level_xtlag","p1","p1_level","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-8.09719721532728e-07,5.33477039899953e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__diff_xtlag","p1","p1_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-1.56114502254331e-06,7.40378761963051e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-1.24215986988974e-06,7.94066134945383e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__log_xtlag","p1","p1_log","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",3.34313694079984,3.58639737567168,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdiff_xtlag","p1","p1_log_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",2.09212331344385,5.70622513690701,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",3.77627050386482,6.25734485123449,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__level_t","p1","p1_level","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-3.27580792260778e-07,3.62499162662245e-07,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__diff_t","p1","p1_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",1.38463941011356e-06,8.58610413385293e-07,4032,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__difflag_t","p1","p1_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",6.48172863753549e-07,4.53317610567536e-07,4032,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__log_t","p1","p1_log","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-2.60498804978912,2.91605395301221,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdiff_t","p1","p1_log_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",6.28269921268612,8.43749025690136,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",7.1140172198914,3.70342857261441,4032,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__level_xtlag","p1","p1_level","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-2.16630606395327e-07,2.40684388826647e-07,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__diff_xtlag","p1","p1_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-6.61384906848189e-07,4.06199339954876e-07,4032,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-6.75456739908466e-07,4.30924639651929e-07,3744,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__log_xtlag","p1","p1_log","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-1.70050832694703,1.89760544504003,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdiff_xtlag","p1","p1_log_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-2.56978283459303,3.4561211566533,4320,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-3.11534202688918,3.6378281555204,4032,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__level_t","p1","p1_level","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-1.15524190848061e-05,1.5720047731048e-05,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__diff_t","p1","p1_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",4.44277460826915e-07,1.19256066067247e-06,1728,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__difflag_t","p1","p1_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",-2.7115336024014e-08,9.04946644516349e-07,1728,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__log_t","p1","p1_log","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-36.8985408195232,34.9808416808971,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdiff_t","p1","p1_log_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",21.1705507733611,10.3056181817216,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",19.3637000304423,7.01522440526495,1728,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__level_xtlag","p1","p1_level","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-6.19242571871347e-07,6.63706142470687e-07,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__diff_xtlag","p1","p1_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-3.11450157211851e-07,8.36367776160049e-07,1728,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-1.26487102703638e-07,8.82834135117423e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__log_xtlag","p1","p1_log","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-5.53234015773107,4.70267483586199,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdiff_xtlag","p1","p1_log_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-14.1444644650744,6.87141542937134,2016,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-15.1229305200454,7.6656714187011,1728,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__level_t","p1","p1_level","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-9.25990753794123e-07,1.58486175434369e-06,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__diff_t","p1","p1_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",-1.20070856967993e-07,2.54884953991686e-06,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__difflag_t","p1","p1_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",3.99975843765646e-07,9.75365364461838e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__log_t","p1","p1_log","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",6.72159381120429,12.5198102664106,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdiff_t","p1","p1_log_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",13.7481999806469,21.3420008795062,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",-0.358586116179951,5.91675780712328,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__level_xtlag","p1","p1_level","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-3.6374610343849e-07,6.23039452187497e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__diff_xtlag","p1","p1_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",4.45836015001195e-08,9.46216653191238e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",1.92444752271222e-07,1.08119440200356e-06,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__log_xtlag","p1","p1_log","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",2.34813617739726,4.3512590447098,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdiff_xtlag","p1","p1_log_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-4.29413900383521,6.66232547491406,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-3.52257606390824,7.50205201699697,1440,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__level_t","p1","p1_level","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-4.21477280842339e-07,3.8375860345215e-07,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__diff_t","p1","p1_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",1.27362334921106e-06,1.13980675688321e-06,4032,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__difflag_t","p1","p1_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",5.02451753212439e-07,5.65660636519876e-07,4032,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__log_t","p1","p1_log","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-1.88724677111439,2.69956386989266,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdiff_t","p1","p1_log_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",13.3992446435602,8.692407151082,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",7.97121331859273,4.27674824398825,4032,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__level_xtlag","p1","p1_level","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-3.11944906672417e-07,2.85308664893212e-07,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__diff_xtlag","p1","p1_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-6.07862242617967e-07,5.43848761067324e-07,4032,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-4.81442343313069e-07,5.67714202090981e-07,3744,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__log_xtlag","p1","p1_log","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-1.37225956762065,1.96120030317642,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdiff_xtlag","p1","p1_log_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-5.48182270249891,3.60129531586831,4320,288,"district_bps_2000+year"
"p1__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdifflag_xtlag","p1","p1_log_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-6.09430058848902,3.73162672614046,4032,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__level_t","p1","p1_level","import","CHN",2000,"2000_2007","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-0.000324725306509276,0.0493675991659332,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__diff_t","p1","p1_diff","import","CHN",2000,"2000_2007","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",5.43011737916963e-06,2.12153757498157e-05,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__difflag_t","p1","p1_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",1.31770846841114e-06,3.45266896155731e-06,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__log_t","p1","p1_log","import","CHN",2000,"2000_2007","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",303.680973240944,2029.25425276172,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__logdiff_t","p1","p1_log_diff","import","CHN",2000,"2000_2007","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",43.1423193284748,72.4104892671814,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",-53.2945683778034,42.8224152980594,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__level_xtlag","p1","p1_level","import","CHN",2000,"2000_2007","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",5.06452960582045e-07,3.44122430007046e-06,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__diff_xtlag","p1","p1_diff","import","CHN",2000,"2000_2007","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",8.79042530019518e-07,3.30665395395501e-06,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__usa_lag1__2000_2007__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",1.41226187503276e-07,2.66104027689087e-06,1440,288,"district_bps_2000+year"
