"table_id","outcome","outcome_var","flow","partner","base_year","period","iv_label","transform_id","transform_label","exposure_var","instrument_var","x_timing","coef","se","N","clusters","fe_flags"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__level_t","p1","p1_level","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-1.06527766516548e-05,8.77956205842217e-06,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__diff_t","p1","p1_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",3.84045553067573e-07,9.12539798854892e-07,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__difflag_t","p1","p1_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",6.59371858739977e-07,6.92771093168938e-07,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__log_t","p1","p1_log","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-27.9219445188709,25.366842352171,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdiff_t","p1","p1_log_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",16.0167841909706,10.3008297272859,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__logdifflag_t","p1","p1_log_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",15.3100506818421,5.8703265494433,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__level_xtlag","p1","p1_level","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-8.73029525439461e-07,5.05502439778159e-07,2016,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__diff_xtlag","p1","p1_diff","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-2.59530725051049e-07,6.16716085913381e-07,1728,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__difflag_xtlag","p1","p1_diff_lag1","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-1.94161039050337e-07,6.43525589984513e-07,1440,288,"district_bps_2000+year"
"p1__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2007__log_xtlag","p1","p1_log","import","CHN",2000,"2000_2007","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-4.97844032592716,4.14805710884053,2016,288,"district_bps_2000+year"
